index,Order ID,Date,Status,Fulfillment,Sales Channel ,ship-service-level,SKU,Category,Size,ASIN,Courier Status,Qty,Currency,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,fulfilled-by
1,403-4471764-6427351,04-30-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Expedited,J0003-SET-L,Saree,L,B082W9XY8F,Unshipped,3,INR,1058.5,PUNE,MAHARASHTRA,407097,IN Core Free Shipping,Amazon
2,403-3120394-6672860,05-19-22,Shipped - Delivered to Buyer,Amazon,Amazon.in,Standard,JNE3733-KR-3XL,Top,3XL,B098VXG22J,Unshipped,3,INR,744.29,MADURAI,TAMIL NADU,492612,IN Core Free Shipping,Amazon
3,403-5490136-8858701,04-03-22,Cancelled,Merchant,Amazon.in,Standard,JNE3394-KR-3XL,Set,3XL,B082W9XY8F,Cancelled,0,INR,0.0,KALYAN,MAHARASHTRA,437789,IN Core Free Shipping,Easy Ship
4,403-5088372-7228713,04-29-22,Cancelled,Amazon,Amazon.in,Expedited,J0003-SET-S,Set,S,B09W3UXLHF,Cancelled,0,INR,0.0,MADURAI,TAMIL NADU,606412,FALSE,Amazon
5,403-4108539-9028603,04-03-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405-KR-XL,Western Dress,XL,B09G3B6MV2,Shipped,2,INR,1058.5,VIJAYAWADA,ANDHRA PRADESH,494396,IN Core Free Shipping,Easy Ship
6,403-6533754-7671585,05-27-22,Cancelled,Amazon,Amazon.in,Standard,JNE3405-KR-S,Set,S,B098VXG22J,Cancelled,0,INR,0.0,KANPUR,UTTAR PRADESH,575141,FALSE,Amazon
7,403-9115396-5524460,04-28-22,Cancelled,Merchant,Amazon.in,Expedited,JNE3797-KR-XL,Set,XL,B09G3B6MV2,Cancelled,0,INR,0.0,HUBLI,KARNATAKA,654529,FALSE,Easy Ship
8,403-5375976-8858067,04-04-22,Shipped,Amazon,Amazon.in,Expedited,JNE3733-KR-XL,Blouse,XL,B082W9XY8F,Shipped,3,INR,1279.5,KOLKATA,WEST BENGAL,402902,IN Core Free Shipping,Amazon
9,403-7097111-4083273,05-12-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NWM01-XL,Saree,XL,B082W9XY8F,Unshipped,2,INR,744.29,PURULIA,WEST BENGAL,583540,IN Core Free Shipping,Easy Ship
10,403-9962506-5722324,04-21-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797-KR-XL,Ethnic Dress,XL,B08LWWYMDX,Unshipped,3,INR,453.67,Noida,UTTAR PRADESH,598818,IN Core Free Shipping,Easy Ship
11,403-9375339-9978896,04-11-22,Cancelled,Amazon,Amazon.in,Expedited,NWM01-3XL,Bottom,3XL,B09W3UXLHF,Cancelled,0,INR,0.0,CHIRALA,ANDHRA PRADESH,531454,IN Core Free Shipping,Amazon
